F/S/C,A-L,,,mm/dd/yyyy,mm/dd/yyyy,mm/dd/yyyy,Initials,"Dry masses (g), to 0.1",,,,,,,
C,I,2018,324,11/20/2018,10/25/2022,2/26/2023,AES,9.9,1.7,18.1,8.1,NA,0.4,1.2,
C,J,2018,324,11/20/2018,10/25/2022,2/26/2023,AES,3.7,0.4,23.0,6.0,NA,0.2,1.7,
C,K,2018,324,11/20/2018,10/25/2022,2/26/2023,AES,4.4,0.5,14.9,3.7,NA,43.5,1.7,
C,L,2018,324,11/20/2018,10/25/2022,2/26/2023,AES,10.4,0.6,13.3,4.2,NA,0.6,2.0,
F,A,2018,324,11/20/2018,11/15/2022,2/26/2023,AES,2.0,2.1,4.8,10.4,NA,0.2,2.1,
F,B,2018,324,11/20/2018,11/15/2022,2/26/2023,AES,0.1,3.8,8.2,11.0,NA,0.2,1.3,
F,C,2018,324,11/20/2018,11/15/2022,2/26/2023,AES,6.4,1.6,9.8,6.4,NA,0.0,1.8,
F,D,2018,324,11/20/2018,11/15/2022,2/26/2023,AES,5.5,4.5,8.5,6.1,NA,0.0,2.1,
F,E,2018,324,11/20/2018,11/15/2022,2/26/2023,AES,6.1,2.6,10.0,5.2,NA,1.6,1.8,
F,F,2018,324,11/20/2018,11/15/2022,2/26/2023,AES,1.8,1.8,5.7,5.0,NA,0.1,2.4,
F,G,2018,324,11/20/2018,11/15/2022,2/26/2023,AES,1.7,2.2,13.2,9.0,NA,0.0,2.7,
F,H,2018,324,11/20/2018,11/15/2022,2/26/2023,AES,2.1,0.7,13.3,5.3,NA,3.6,2.7,
F,I,2018,324,11/20/2018,11/15/2022,2/26/2023,AES,1.5,1.6,7.5,3.8,NA,0.0,2.8,
F,J,2018,324,11/20/2018,11/15/2022,2/26/2023,AES,3.9,1.6,10.5,5.2,NA,0.3,2.6,
F,K,2018,324,11/20/2018,11/15/2022,2/26/2023,AES,2.0,1.8,8.0,5.6,NA,0.3,2.3,
F,L,2018,324,11/20/2018,11/15/2022,2/26/2023,AES,1.9,3.2,7.3,3.9,NA,0.0,2.9,
S,A,2018,324,11/20/2018,11/15/2022,2/26/2023,AES,1.1,1.5,11.5,23.2,NA,2.5,1.5,
S,B,2018,324,11/20/2018,11/15/2022,2/26/2023,AES,0.6,1.2,10.2,25.9,NA,1.7,0.4,
S,C,2018,324,11/20/2018,11/15/2022,2/26/2023,AES,0.9,0.6,11.1,21.1,NA,0.0,1.8,
S,D,2018,324,11/20/2018,11/15/2022,2/26/2023,AES,1.0,0.7,16.7,26.7,NA,3.3,0.6,
S,E,2018,324,11/20/2018,11/15/2022,2/26/2023,AES,1.3,0.0,11.9,24.1,NA,0.1,2.5,
S,F,2018,324,11/20/2018,11/15/2022,2/26/2023,AES,0.4,0.4,9.9,19.9,NA,0.6,1.1,
S,G,2018,324,11/20/2018,11/15/2022,2/26/2023,AES,0.5,2.2,12.1,27.8,NA,1.1,0.3,
S,H,2018,324,11/20/2018,11/15/2022,2/26/2023,AES,2.9,2.7,7.2,30.8,NA,2.0,2.3,
S,I,2018,324,11/20/2018,11/15/2022,2/26/2023,AES,1.3,0.0,10.4,3.8,NA,21.1,1.3,
S,J,2018,324,11/20/2018,11/15/2022,2/26/2023,AES,0.2,0.4,9.5,30.6,NA,2.8,0.7,
S,K,2018,324,11/20/2018,11/15/2022,2/26/2023,AES,3.6,1.2,12.0,33.0,NA,0.8,0.1,
S,L,2018,324,11/20/2018,11/15/2022,2/26/2023,AES,0.4,0.4,7.5,17.5,NA,2.9,0.7,
S,A,2018,353,12/19/2018,1/5/2023,2/26/2023,AES,0.0,0.0,4.9,9.1,NA,1.2,2.8,
S,B,2018,353,12/19/2018,1/5/2023,2/26/2023,AES,0.1,0.0,11.1,10.0,NA,0.2,3.4,
S,C,2018,353,12/19/2018,1/5/2023,2/26/2023,AES,0.0,0.7,8.5,10.8,NA,0.7,2.9,
S,D,2018,353,12/19/2018,1/5/2023,2/26/2023,AES,0.0,0.2,5.1,11.2,NA,0.0,2.8,
S,E,2018,353,12/19/2018,1/5/2023,2/26/2023,AES,0.0,0.0,3.5,9.4,NA,0.1,3.1,
S,F,2018,353,12/19/2018,1/5/2023,2/26/2023,AES,0.0,0.5,3.1,8.6,NA,1.2,3.5,
S,G,2018,353,12/19/2018,1/5/2023,2/26/2023,AES,0.1,0.0,1.5,7.8,NA,5.7,2.4,
S,H,2018,353,12/19/2018,1/5/2023,2/26/2023,AES,0.0,0.0,2.0,5.7,NA,3.8,2.4,
S,I,2018,353,12/19/2018,1/5/2023,2/26/2023,AES,0.1,0.0,2.0,12.3,NA,0.0,3.1,
S,J,2018,353,12/19/2018,1/5/2023,2/26/2023,AES,0.0,0.0,1.3,7.8,NA,0.3,3.7,
S,K,2018,353,12/19/2018,1/5/2023,2/26/2023,AES,0.1,0.0,6.0,9.5,NA,0.0,3.0,
S,L,2018,353,12/19/2018,1/5/2023,2/26/2023,AES,0.1,0.2,5.3,4.3,NA,0.1,3.1,
C,A,2018,353,12/19/2018,12/13/2022,2/26/2023,AES,0.0,0.0,7.3,1.6,NA,0.0,6.4,
C,B,2018,353,12/19/2018,12/13/2022,2/26/2023,AES,0.5,0.6,8.2,3.1,NA,0.7,6.9,
C,C,2018,353,12/19/2018,12/13/2022,2/26/2023,AES,0.4,0.0,8.9,1.2,NA,0.0,6.6,
C,D,2018,353,12/19/2018,12/13/2022,2/26/2023,AES,0.0,0.4,12.6,6.9,NA,0.0,6.0,
C,E,2018,353,12/19/2018,12/13/2022,2/26/2023,AES,0.2,0.1,13.5,3.9,NA,0.1,5.2,
C,F,2018,353,12/19/2018,12/13/2022,2/26/2023,AES,0.3,0.8,11.2,2.2,NA,5.0,8.1,
C,G,2018,353,12/19/2018,1/5/2023,2/26/2023,AES,0.5,0.6,9.5,3.7,NA,0.0,6.5,
C,H,2018,353,12/19/2018,1/5/2023,2/26/2023,AES,1.6,0.1,7.5,0.5,NA,1.0,4.8,
C,I,2018,353,12/19/2018,1/5/2023,2/26/2023,AES,0.3,0.0,10.3,3.0,NA,0.2,3.8,
C,J,2018,353,12/19/2018,1/5/2023,2/26/2023,AES,0.4,0.1,8.7,2.2,NA,0.0,4.5,
C,K,2018,353,12/19/2018,1/5/2023,2/26/2023,AES,0.3,0.4,12.1,2.0,NA,2.4,4.7,
C,L,2018,353,12/19/2018,1/5/2023,2/26/2023,AES,0.3,0.0,11.0,1.8,NA,0.5,7.5,
F,A,2018,353,12/19/2018,1/17/2023,2/26/2023,AES,1.3,0.2,5.3,3.1,NA,0.0,8.4,
F,B,2018,353,12/19/2018,1/17/2023,2/26/2023,AES,1.2,0.0,4.7,1.4,NA,0.1,7.6,
F,C,2018,353,12/19/2018,1/17/2023,2/26/2023,AES,1.4,0.0,5.2,1.7,NA,0.0,8.6,
F,D,2018,353,12/19/2018,1/17/2023,2/26/2023,AES,1.7,0.3,7.8,2.0,NA,0.8,8.5,
F,E,2018,353,12/19/2018,1/17/2023,2/26/2023,AES,1.6,0.0,8.1,1.3,NA,0.4,6.7,
F,F,2018,353,12/19/2018,1/17/2023,2/26/2023,AES,0.9,0.0,7.6,2.7,NA,0.0,9.5,
F,G,2018,353,12/19/2018,1/17/2023,2/26/2023,AES,0.3,0.1,9.8,2.1,NA,2.0,9.0,
F,H,2018,353,12/19/2018,1/17/2023,2/26/2023,AES,0.3,0.0,9.9,0.4,NA,1.0,9.7,
F,I,2018,353,12/19/2018,1/17/2023,2/26/2023,AES,0.2,0.0,9.7,2.2,NA,2.1,9.6,
F,J,2018,353,12/19/2018,1/17/2023,2/26/2023,AES,1.4,0.4,10.3,2.6,NA,0.2,11.1,
F,K,2018,353,12/19/2018,1/17/2023,2/26/2023,AES,1.8,0.1,8.9,0.7,NA,1.0,9.7,
F,L,2018,353,12/19/2018,1/17/2023,2/26/2023,AES,1.4,0.0,10.1,0.9,NA,0.1,9.5,
S,A,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.0,0.4,0.9,NA,0.8,4.2,
S,B,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.1,0.3,0.4,NA,2.3,5.5,
S,C,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.1,3.1,3.7,NA,15.1,5.6,
S,D,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.7,0.5,1.3,NA,0.4,5.5,
S,E,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.5,1.4,3.9,NA,18.3,5.8,
S,F,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.1,0.4,0.1,1.8,NA,26.5,5.6,
S,G,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.3,0.0,0.2,1.3,NA,2.3,4.3,
S,H,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.0,0.0,0.1,NA,6.9,4.3,
S,I,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.2,0.0,0.4,NA,0.1,4.1,
S,J,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.0,0.3,0.7,NA,3.0,4.7,
S,K,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.0,0.5,3.2,NA,2.6,5.7,
S,L,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.1,0.0,0.6,3.8,NA,3.8,6.5,
F,A,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.0,0.0,0.4,NA,2.0,5.9,
F,B,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.2,0.7,0.0,NA,4.6,6.0,
F,C,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.0,0.4,0.3,NA,0.0,6.9,
F,D,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.2,0.2,0.5,0.5,NA,7.3,6.3,
F,E,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.1,0.1,1.1,0.1,NA,25.6,8.2,
F,F,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.0,0.2,0.0,NA,0.5,7.5,
F,G,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.1,0.4,0.2,NA,1.8,8.4,
F,H,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.3,0.0,0.7,0.7,NA,2.3,7.4,
F,I,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.0,0.1,0.3,NA,0.1,5.6,
F,J,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.0,0.9,0.0,NA,2.3,6.9,
F,K,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.1,0.5,0.1,NA,1.6,7.0,
F,L,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.0,0.3,0.3,NA,7.2,6.4,
C,A,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.0,0.3,0.2,NA,0.9,4.8,
C,B,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.1,1.0,0.4,NA,4.0,4.9,
C,C,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.0,1.2,0.8,NA,5.2,3.8,
C,D,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.0,0.3,0.7,NA,0.5,4.4,
C,E,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.0,0.0,0.0,NA,1.0,3.8,
C,F,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.1,0.0,1.0,1.0,NA,14.9,4.5,
C,G,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.0,0.6,0.6,NA,15.3,6.7,
C,H,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.1,0.0,0.7,0.1,NA,11.8,5.4,
C,I,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.2,0.4,0.6,NA,2.1,7.2,
C,J,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.0,0.0,0.4,0.9,NA,5.8,4.5,
C,K,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.4,0.4,1.0,0.6,NA,81.9,5.3,
C,L,2019,106,4/16/2019,2/7/2023,2/26/2023,AES,0.2,0.5,1.2,0.1,NA,10.5,7.0,
S,A,2019,154,7/3/2019,2/28/2023,12/11/2024,AES,0.1,1.2,0.0,2.9,NA,45.4,12.7,
S,B,2019,154,7/3/2019,2/28/2023,12/11/2024,AES,0.2,0.5,0.6,1.4,NA,1.1,11.2,
S,C,2019,154,7/3/2019,2/28/2023,12/11/2024,AES,0.1,0.6,0.2,0.7,NA,0.9,8.5,
S,D,2019,154,7/3/2019,2/28/2023,12/11/2024,AES,2.2,0.2,0.2,0.4,NA,0.2,7.3,
S,E,2019,154,7/3/2019,2/28/2023,12/11/2024,AES,0.0,0.0,0.0,0.5,NA,2.9,8.9,
S,F,2019,154,7/3/2019,2/28/2023,12/11/2024,AES,0.0,0.0,0.1,4.6,NA,11.0,11.7,
S,G,2019,154,7/3/2019,2/28/2023,12/11/2024,AES,0.0,0.0,0.4,0.7,NA,1.6,14.3,
S,H,2019,154,7/3/2019,2/28/2023,12/11/2024,AES,0.0,0.0,0.2,0.5,NA,1.1,13.5,
S,I,2019,154,7/3/2019,2/28/2023,12/11/2024,AES,0.0,0.2,0.1,2.3,NA,2.9,16.2,
S,J,2019,154,7/3/2019,2/28/2023,12/11/2024,AES,0.0,0.6,0.2,1.6,NA,4.7,15.0,
S,K,2019,154,7/3/2019,2/28/2023,12/11/2024,AES,0.0,0.2,0.5,1.3,NA,1.4,8.7,
S,L,2019,154,7/3/2019,2/28/2023,12/11/2024,AES,0.1,0.4,0.4,0.3,NA,0.4,8.9,
F,A,2019,154,7/3/2019,2/14/2023,12/11/2024,AES,0.0,1.3,0.4,0.6,NA,28.6,14.5,
F,B,2019,154,7/3/2019,2/14/2023,12/11/2024,AES,0.1,0.3,0.2,0.6,NA,1.2,13.2,
F,C,2019,154,7/3/2019,2/14/2023,12/11/2024,AES,0.0,2.4,0.2,2.1,NA,3.9,14.5,
F,D,2019,154,7/3/2019,2/14/2023,12/11/2024,AES,0.1,0.3,0.1,0.1,NA,6.0,12.2,
F,E,2019,154,7/3/2019,2/14/2023,12/11/2024,AES,0.3,0.6,0.0,0.7,NA,5.0,11.3,
F,F,2019,154,7/3/2019,2/14/2023,12/11/2024,AES,0.1,1.2,0.5,1.2,NA,5.6,15.3,
F,G,2019,154,7/3/2019,2/14/2023,12/11/2024,AES,0.0,0.4,0.2,2.4,NA,1.3,13.0,
F,H,2019,154,7/3/2019,2/14/2023,12/11/2024,AES,0.1,0.3,0.2,1.6,NA,1.3,12.5,
F,I,2019,154,7/3/2019,2/14/2023,12/11/2024,AES,0.1,0.6,0.4,0.0,NA,2.1,11.5,
F,J,2019,154,7/3/2019,2/14/2023,12/11/2024,AES,0.0,1.9,0.1,0.9,NA,2.8,16.3,
F,K,2019,154,7/3/2019,2/14/2023,12/11/2024,AES,0.1,0.9,0.1,1.3,NA,6.9,14.5,
F,L,2019,154,7/3/2019,2/14/2023,12/11/2024,AES,0.0,0.5,0.1,0.3,NA,3.0,12.4,
C,A,2019,154,7/3/2019,2/14/2023,12/11/2024,AES,0.0,0.4,0.1,1.1,NA,1.8,11.1,
C,B,2019,154,7/3/2019,2/14/2023,12/11/2024,AES,0.0,3.0,0.0,3.0,NA,9.1,11.7,
C,C,2019,154,7/3/2019,2/14/2023,12/11/2024,AES,0.0,1.6,0.0,1.5,NA,2.1,13.3,
C,D,2019,154,7/3/2019,2/14/2023,12/11/2024,AES,0.0,0.6,0.2,0.4,NA,1.1,14.0,
C,E,2019,154,7/3/2019,2/14/2023,12/11/2024,AES,0.2,0.4,0.5,0.6,NA,2.0,12.9,
C,F,2019,154,7/3/2019,2/14/2023,12/11/2024,AES,0.0,0.4,0.3,0.8,NA,5.5,13.2,
C,G,2019,154,7/3/2019,2/14/2023,12/11/2024,AES,0.1,0.6,0.0,1.4,NA,1.0,10.5,
C,H,2019,154,7/3/2019,2/14/2023,12/11/2024,AES,0.0,2.9,0.2,2.7,NA,7.1,10.9,
C,I,2019,154,7/3/2019,2/14/2023,12/11/2024,AES,0.0,1.3,0.2,0.4,NA,8.8,11.0,
C,J,2019,154,7/3/2019,2/14/2023,12/11/2024,AES,0.1,1.8,0.0,1.0,NA,2.2,15.3,
C,K,2019,154,7/3/2019,2/14/2023,12/11/2024,AES,0.0,1.1,0.3,0.6,NA,4.9,13.2,
C,L,2019,154,7/3/2019,2/14/2023,12/11/2024,AES,0.1,0.7,0.0,2.4,NA,0.5,11.1,
C,A,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.1,2.7,0.6,0.8,NA,0.3,0.7,
C,B,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.0,2.4,0.4,1.3,NA,0.9,0.6,
C,C,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.1,1.7,0.5,0.3,NA,0.1,0.2,
C,D,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.0,0.3,0.2,1.2,NA,0.3,0.1,
C,E,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.1,0.6,0.0,0.5,NA,0.0,1.6,
C,F,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.0,0.9,0.5,0.1,NA,0.2,2.9,
C,G,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.0,1.1,0.0,1.6,NA,0.1,3.4,
C,H,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.4,0.5,0.2,2.2,NA,0.1,5.5,
C,I,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.0,1.3,0.3,0.7,NA,0.2,0.7,
C,J,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.1,1.2,0.2,0.9,NA,0.0,6.5,
C,K,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.0,0.6,0.5,0.4,NA,0.2,0.4,
C,L,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.2,3.3,0.0,0.6,NA,0.0,2.7,
F,A,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.0,10.1,0.1,0.7,NA,0.6,0.2,
F,B,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.2,11.7,0.2,0.5,NA,0.0,3.3,
F,C,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.1,12.5,0.2,0.6,NA,0.2,2.1,
F,D,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.2,13.0,0.0,0.7,NA,0.0,0.1,
F,E,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.4,7.8,0.2,0.2,NA,0.1,0.6,
F,F,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.2,8.7,0.1,0.2,NA,0.0,2.3,
F,G,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.1,4.1,0.3,0.3,NA,0.0,1.9,
F,H,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.0,2.9,0.5,0.7,NA,0.2,0.1,
F,I,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.0,7.1,0.3,0.8,NA,0.2,0.9,
F,J,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.1,9.4,0.4,0.5,NA,0.0,0.5,
F,K,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.0,6.7,0.3,0.4,NA,0.0,0.6,
F,L,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.2,9.1,0.2,0.4,NA,0.0,0.7,
S,A,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.0,12.6,0.0,0.8,NA,0.0,0.2,
S,B,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.1,12.5,0.1,0.9,NA,0.0,0.4,
S,C,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.0,18.8,0.2,0.2,NA,0.0,0.6,
S,D,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.4,8.8,0.0,1.1,NA,0.0,1.2,
S,E,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.0,9.8,0.4,0.5,NA,0.0,0.6,
S,F,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.0,13.0,0.2,0.1,NA,0.0,0.0,
S,G,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.0,11.3,0.1,1.0,NA,0.2,0.2,
S,H,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.0,6.2,0.1,1.0,NA,0.0,0.1,
S,I,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.0,14.9,0.1,0.5,NA,0.0,0.8,
S,J,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.4,11.6,0.1,0.3,NA,0.2,0.6,
S,K,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.0,8.7,0.1,0.5,NA,0.0,1.1,
S,L,2019,240,8/28/2019,2/28/2023,12/11/2024,AES,0.2,6.5,0.3,1.7,NA,0.0,1.1,
C,A,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,2.4,10.7,3.7,5.4,NA,2.0,0.1,
C,B,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,2.9,8.5,2.7,5.1,NA,0.7,0.1,
C,C,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,0.7,13.1,4.0,4.0,NA,0.2,0.7,
C,D,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,1.1,8.0,3.8,2.3,NA,0.0,2.1,
C,E,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,0.7,4.5,1.6,2.5,NA,0.0,0.9,
C,F,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,0.0,3.1,2.3,3.0,NA,2.9,0.9,
C,G,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,0.7,8.9,1.7,3.0,NA,1.9,0.4,
C,H,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,0.3,5.7,2.1,4.5,NA,0.6,0.5,
C,I,2019,285,10/12/2019,3/7/2023,12/11/2024,AES,0.8,9.1,4.2,3.5,NA,0.3,0.0,
